"gene","raw_cutree_cluster","trend_cluster"
"Zm00001eb070100",7,"C6"
"Zm00001eb116950",2,"C2"
"Zm00001eb105090",2,"C2"
"Zm00001eb077790",2,"C2"
"Zm00001eb105830",2,"C2"
"Zm00001eb076820",3,"C4"
"Zm00001eb113700",2,"C2"
"Zm00001eb080890",7,"C6"
"Zm00001eb109790",6,"C1"
"Zm00001eb074040",3,"C4"
"Zm00001eb099250",3,"C4"
"Zm00001eb105670",6,"C1"
"Zm00001eb104290",2,"C2"
"Zm00001eb118200",3,"C4"
"Zm00001eb114280",3,"C4"
"Zm00001eb097590",6,"C1"
"Zm00001eb083830",6,"C1"
"Zm00001eb103030",2,"C2"
"Zm00001eb082890",6,"C1"
"Zm00001eb086820",2,"C2"
"Zm00001eb104870",2,"C2"
"Zm00001eb101080",5,"C5"
"Zm00001eb117900",2,"C2"
"Zm00001eb083210",1,"C7"
"Zm00001eb112020",6,"C1"
"Zm00001eb082720",2,"C2"
"Zm00001eb065690",2,"C2"
"Zm00001eb072100",6,"C1"
"Zm00001eb093540",2,"C2"
"Zm00001eb077670",2,"C2"
"Zm00001eb071300",2,"C2"
"Zm00001eb084180",6,"C1"
"Zm00001eb114150",2,"C2"
"Zm00001eb075980",2,"C2"
"Zm00001eb076010",6,"C1"
"Zm00001eb070810",6,"C1"
"Zm00001eb117150",2,"C2"
"Zm00001eb111050",1,"C7"
"Zm00001eb104210",3,"C4"
"Zm00001eb102790",3,"C4"
"Zm00001eb095530",2,"C2"
"Zm00001eb091620",2,"C2"
"Zm00001eb092280",3,"C4"
"Zm00001eb074610",3,"C4"
"Zm00001eb093750",3,"C4"
"Zm00001eb110070",6,"C1"
"Zm00001eb067370",1,"C7"
"Zm00001eb106960",5,"C5"
"Zm00001eb112820",1,"C7"
"Zm00001eb075380",6,"C1"
"Zm00001eb101750",2,"C2"
"Zm00001eb094540",2,"C2"
"Zm00001eb070240",2,"C2"
"Zm00001eb102640",6,"C1"
"Zm00001eb103830",3,"C4"
"Zm00001eb085410",2,"C2"
"Zm00001eb105390",6,"C1"
"Zm00001eb076570",2,"C2"
"Zm00001eb102030",6,"C1"
"Zm00001eb106120",2,"C2"
"Zm00001eb103300",3,"C4"
"Zm00001eb103340",7,"C6"
"Zm00001eb077230",1,"C7"
"Zm00001eb099170",3,"C4"
"Zm00001eb067270",6,"C1"
"Zm00001eb103730",5,"C5"
"Zm00001eb098910",6,"C1"
"Zm00001eb070070",6,"C1"
"Zm00001eb089060",2,"C2"
"Zm00001eb085510",7,"C6"
"Zm00001eb093390",3,"C4"
"Zm00001eb100980",3,"C4"
"Zm00001eb072780",3,"C4"
"Zm00001eb076710",6,"C1"
"Zm00001eb095700",2,"C2"
"Zm00001eb076390",6,"C1"
"Zm00001eb068410",7,"C6"
"Zm00001eb105100",3,"C4"
"Zm00001eb116010",1,"C7"
"Zm00001eb104960",6,"C1"
"Zm00001eb081450",3,"C4"
"Zm00001eb084110",2,"C2"
"Zm00001eb096080",2,"C2"
"Zm00001eb066590",7,"C6"
"Zm00001eb069270",2,"C2"
"Zm00001eb101770",7,"C6"
"Zm00001eb111690",2,"C2"
"Zm00001eb105120",2,"C2"
"Zm00001eb103610",3,"C4"
"Zm00001eb076340",6,"C1"
"Zm00001eb082380",2,"C2"
"Zm00001eb078360",5,"C5"
"Zm00001eb107670",6,"C1"
"Zm00001eb070720",6,"C1"
"Zm00001eb092590",3,"C4"
"Zm00001eb091010",6,"C1"
"Zm00001eb085170",6,"C1"
"Zm00001eb096680",7,"C6"
"Zm00001eb067800",4,"C3"
"Zm00001eb089680",6,"C1"
"Zm00001eb118070",6,"C1"
"Zm00001eb107030",2,"C2"
"Zm00001eb075390",5,"C5"
"Zm00001eb097040",6,"C1"
"Zm00001eb071280",6,"C1"
"Zm00001eb094350",6,"C1"
"Zm00001eb081790",2,"C2"
"Zm00001eb072850",2,"C2"
"Zm00001eb072190",2,"C2"
"Zm00001eb102560",2,"C2"
"Zm00001eb075920",2,"C2"
"Zm00001eb099640",2,"C2"
"Zm00001eb106230",6,"C1"
"Zm00001eb110640",1,"C7"
"Zm00001eb074410",2,"C2"
"Zm00001eb071390",3,"C4"
"Zm00001eb066540",7,"C6"
"Zm00001eb116250",2,"C2"
"Zm00001eb110750",2,"C2"
"Zm00001eb103900",7,"C6"
"Zm00001eb080440",2,"C2"
"Zm00001eb098680",2,"C2"
"Zm00001eb096280",3,"C4"
"Zm00001eb107940",5,"C5"
"Zm00001eb112360",7,"C6"
"Zm00001eb106460",2,"C2"
"Zm00001eb110920",2,"C2"
"Zm00001eb080820",2,"C2"
"Zm00001eb106320",3,"C4"
"Zm00001eb104660",5,"C5"
"Zm00001eb090920",6,"C1"
"Zm00001eb082100",3,"C4"
"Zm00001eb077210",6,"C1"
"Zm00001eb068880",4,"C3"
"Zm00001eb108430",6,"C1"
"Zm00001eb080710",2,"C2"
"Zm00001eb116440",2,"C2"
"Zm00001eb083600",7,"C6"
"Zm00001eb100890",3,"C4"
"Zm00001eb066290",2,"C2"
"Zm00001eb093630",6,"C1"
"Zm00001eb075460",6,"C1"
"Zm00001eb105890",3,"C4"
"Zm00001eb101320",2,"C2"
"Zm00001eb101040",2,"C2"
"Zm00001eb079220",1,"C7"
"Zm00001eb100880",6,"C1"
"Zm00001eb107090",5,"C5"
"Zm00001eb104590",7,"C6"
"Zm00001eb090850",2,"C2"
"Zm00001eb082980",2,"C2"
"Zm00001eb070680",3,"C4"
"Zm00001eb102590",2,"C2"
"Zm00001eb109870",2,"C2"
"Zm00001eb081380",5,"C5"
"Zm00001eb110430",5,"C5"
"Zm00001eb091230",6,"C1"
"Zm00001eb110250",2,"C2"
"Zm00001eb074820",6,"C1"
"Zm00001eb079180",2,"C2"
"Zm00001eb066510",3,"C4"
"Zm00001eb081580",3,"C4"
"Zm00001eb086380",2,"C2"
"Zm00001eb111230",2,"C2"
"Zm00001eb110710",2,"C2"
"Zm00001eb075330",6,"C1"
"Zm00001eb114880",2,"C2"
"Zm00001eb076640",6,"C1"
"Zm00001eb070950",2,"C2"
"Zm00001eb113350",7,"C6"
"Zm00001eb071120",3,"C4"
"Zm00001eb069070",3,"C4"
"Zm00001eb110540",7,"C6"
"Zm00001eb105740",2,"C2"
"Zm00001eb070320",2,"C2"
"Zm00001eb117310",6,"C1"
"Zm00001eb066920",3,"C4"
"Zm00001eb117600",5,"C5"
"Zm00001eb072110",3,"C4"
"Zm00001eb107280",3,"C4"
"Zm00001eb100100",3,"C4"
"Zm00001eb087960",7,"C6"
"Zm00001eb071990",2,"C2"
"Zm00001eb114250",2,"C2"
"Zm00001eb082790",1,"C7"
"Zm00001eb093200",3,"C4"
"Zm00001eb099910",2,"C2"
"Zm00001eb095260",6,"C1"
"Zm00001eb075580",7,"C6"
"Zm00001eb116590",2,"C2"
"Zm00001eb081320",7,"C6"
"Zm00001eb102500",2,"C2"
"Zm00001eb085440",3,"C4"
"Zm00001eb075060",2,"C2"
"Zm00001eb094040",2,"C2"
"Zm00001eb075940",2,"C2"
"Zm00001eb081910",7,"C6"
"Zm00001eb108060",2,"C2"
"Zm00001eb078600",3,"C4"
"Zm00001eb088880",2,"C2"
"Zm00001eb101940",2,"C2"
"Zm00001eb095920",2,"C2"
"Zm00001eb102800",6,"C1"
"Zm00001eb072810",7,"C6"
"Zm00001eb078570",3,"C4"
"Zm00001eb097070",5,"C5"
"Zm00001eb110820",2,"C2"
"Zm00001eb109980",2,"C2"
"Zm00001eb079750",2,"C2"
"Zm00001eb098230",2,"C2"
"Zm00001eb079770",3,"C4"
"Zm00001eb070130",2,"C2"
"Zm00001eb066970",7,"C6"
"Zm00001eb103950",2,"C2"
"Zm00001eb113610",2,"C2"
"Zm00001eb101670",7,"C6"
"Zm00001eb069000",7,"C6"
"Zm00001eb071290",2,"C2"
"Zm00001eb075710",7,"C6"
"Zm00001eb096990",6,"C1"
"Zm00001eb106630",7,"C6"
"Zm00001eb081330",5,"C5"
"Zm00001eb080780",2,"C2"
"Zm00001eb103210",2,"C2"
"Zm00001eb079610",2,"C2"
"Zm00001eb068110",5,"C5"
"Zm00001eb115370",7,"C6"
"Zm00001eb091360",5,"C5"
"Zm00001eb082680",3,"C4"
"Zm00001eb083300",6,"C1"
"Zm00001eb099080",2,"C2"
"Zm00001eb102090",2,"C2"
"Zm00001eb077380",2,"C2"
"Zm00001eb108940",2,"C2"
"Zm00001eb112580",2,"C2"
"Zm00001eb080830",2,"C2"
"Zm00001eb095240",2,"C2"
"Zm00001eb111490",2,"C2"
"Zm00001eb067750",5,"C5"
"Zm00001eb112400",2,"C2"
"Zm00001eb104790",2,"C2"
"Zm00001eb109300",3,"C4"
"Zm00001eb085050",1,"C7"
"Zm00001eb108440",2,"C2"
"Zm00001eb072740",2,"C2"
"Zm00001eb076810",2,"C2"
"Zm00001eb094520",2,"C2"
"Zm00001eb075270",5,"C5"
"Zm00001eb078520",5,"C5"
"Zm00001eb074100",3,"C4"
"Zm00001eb094990",2,"C2"
"Zm00001eb096340",2,"C2"
"Zm00001eb067410",6,"C1"
"Zm00001eb076650",6,"C1"
"Zm00001eb081110",2,"C2"
"Zm00001eb076870",7,"C6"
"Zm00001eb086990",7,"C6"
"Zm00001eb072220",5,"C5"
"Zm00001eb091510",3,"C4"
"Zm00001eb065750",2,"C2"
"Zm00001eb110870",2,"C2"
"Zm00001eb098560",6,"C1"
"Zm00001eb094560",6,"C1"
"Zm00001eb111130",1,"C7"
"Zm00001eb085940",2,"C2"
"Zm00001eb075600",2,"C2"
"Zm00001eb096980",7,"C6"
"Zm00001eb110160",3,"C4"
"Zm00001eb074350",7,"C6"
"Zm00001eb079330",7,"C6"
"Zm00001eb100180",2,"C2"
"Zm00001eb109030",2,"C2"
"Zm00001eb088930",3,"C4"
"Zm00001eb089010",1,"C7"
"Zm00001eb073750",5,"C5"
"Zm00001eb092750",2,"C2"
"Zm00001eb073880",3,"C4"
"Zm00001eb066790",6,"C1"
"Zm00001eb091100",2,"C2"
"Zm00001eb068780",7,"C6"
"Zm00001eb074440",2,"C2"
"Zm00001eb112080",6,"C1"
"Zm00001eb072330",7,"C6"
"Zm00001eb073360",6,"C1"
"Zm00001eb107040",2,"C2"
"Zm00001eb097310",2,"C2"
"Zm00001eb076730",2,"C2"
"Zm00001eb105540",2,"C2"
"Zm00001eb083720",2,"C2"
"Zm00001eb097400",2,"C2"
"Zm00001eb082640",5,"C5"
"Zm00001eb072520",2,"C2"
"Zm00001eb080860",2,"C2"
"Zm00001eb109500",2,"C2"
"Zm00001eb070770",6,"C1"
"Zm00001eb081200",7,"C6"
"Zm00001eb076230",2,"C2"
"Zm00001eb107640",6,"C1"
"Zm00001eb111330",2,"C2"
"Zm00001eb110230",3,"C4"
"Zm00001eb089570",2,"C2"
"Zm00001eb069290",6,"C1"
"Zm00001eb081610",7,"C6"
"Zm00001eb112850",2,"C2"
"Zm00001eb066680",7,"C6"
"Zm00001eb092880",3,"C4"
"Zm00001eb117180",7,"C6"
"Zm00001eb071490",2,"C2"
"Zm00001eb111760",2,"C2"
"Zm00001eb068580",7,"C6"
"Zm00001eb104750",2,"C2"
"Zm00001eb103140",2,"C2"
"Zm00001eb108720",6,"C1"
"Zm00001eb085830",2,"C2"
"Zm00001eb086710",2,"C2"
"Zm00001eb111830",5,"C5"
"Zm00001eb071860",3,"C4"
"Zm00001eb066570",1,"C7"
"Zm00001eb066480",1,"C7"
"Zm00001eb080510",7,"C6"
"Zm00001eb101930",2,"C2"
"Zm00001eb081700",2,"C2"
"Zm00001eb087500",7,"C6"
"Zm00001eb077440",5,"C5"
"Zm00001eb095960",2,"C2"
"Zm00001eb098280",2,"C2"
"Zm00001eb072660",7,"C6"
"Zm00001eb095390",1,"C7"
"Zm00001eb102180",2,"C2"
"Zm00001eb094840",2,"C2"
"Zm00001eb073250",2,"C2"
"Zm00001eb066560",2,"C2"
"Zm00001eb068860",2,"C2"
"Zm00001eb113550",2,"C2"
"Zm00001eb074280",3,"C4"
"Zm00001eb108330",2,"C2"
"Zm00001eb075520",6,"C1"
"Zm00001eb089860",6,"C1"
"Zm00001eb082590",6,"C1"
"Zm00001eb074170",1,"C7"
"Zm00001eb111650",7,"C6"
"Zm00001eb072730",6,"C1"
"Zm00001eb067980",3,"C4"
"Zm00001eb071760",2,"C2"
"Zm00001eb084420",5,"C5"
"Zm00001eb118180",2,"C2"
"Zm00001eb070840",6,"C1"
"Zm00001eb067610",2,"C2"
"Zm00001eb117170",2,"C2"
"Zm00001eb075850",3,"C4"
"Zm00001eb088090",2,"C2"
"Zm00001eb111020",3,"C4"
"Zm00001eb099520",6,"C1"
"Zm00001eb094160",3,"C4"
"Zm00001eb068610",6,"C1"
"Zm00001eb107540",3,"C4"
"Zm00001eb089620",2,"C2"
"Zm00001eb071630",3,"C4"
"Zm00001eb102850",2,"C2"
"Zm00001eb083610",3,"C4"
"Zm00001eb113790",2,"C2"
"Zm00001eb095000",2,"C2"
"Zm00001eb110300",7,"C6"
"Zm00001eb107010",3,"C4"
"Zm00001eb081900",2,"C2"
"Zm00001eb067080",2,"C2"
"Zm00001eb102830",2,"C2"
"Zm00001eb066360",3,"C4"
"Zm00001eb117830",2,"C2"
"Zm00001eb080580",3,"C4"
"Zm00001eb104880",1,"C7"
"Zm00001eb114520",2,"C2"
"Zm00001eb116410",2,"C2"
"Zm00001eb077630",3,"C4"
"Zm00001eb104630",7,"C6"
"Zm00001eb108820",6,"C1"
"Zm00001eb079150",3,"C4"
"Zm00001eb077960",2,"C2"
"Zm00001eb081370",3,"C4"
"Zm00001eb086540",6,"C1"
"Zm00001eb068620",3,"C4"
"Zm00001eb091300",6,"C1"
"Zm00001eb108590",2,"C2"
"Zm00001eb109690",2,"C2"
"Zm00001eb084900",2,"C2"
"Zm00001eb083880",2,"C2"
"Zm00001eb080940",6,"C1"
"Zm00001eb069200",7,"C6"
"Zm00001eb067180",3,"C4"
"Zm00001eb068650",1,"C7"
"Zm00001eb114780",2,"C2"
"Zm00001eb088370",6,"C1"
"Zm00001eb082290",3,"C4"
"Zm00001eb091700",2,"C2"
"Zm00001eb074340",2,"C2"
"Zm00001eb075990",2,"C2"
"Zm00001eb104550",6,"C1"
"Zm00001eb107290",3,"C4"
"Zm00001eb117980",2,"C2"
"Zm00001eb099070",2,"C2"
"Zm00001eb085190",2,"C2"
"Zm00001eb082060",6,"C1"
"Zm00001eb109510",7,"C6"
"Zm00001eb084450",6,"C1"
"Zm00001eb104090",7,"C6"
"Zm00001eb109040",2,"C2"
"Zm00001eb079280",2,"C2"
"Zm00001eb071400",6,"C1"
"Zm00001eb101090",3,"C4"
"Zm00001eb079380",7,"C6"
"Zm00001eb071440",6,"C1"
"Zm00001eb110330",3,"C4"
"Zm00001eb106680",2,"C2"
"Zm00001eb116150",6,"C1"
"Zm00001eb110780",2,"C2"
"Zm00001eb089190",1,"C7"
"Zm00001eb086730",3,"C4"
"Zm00001eb110910",2,"C2"
"Zm00001eb098760",2,"C2"
"Zm00001eb100430",2,"C2"
"Zm00001eb104430",5,"C5"
"Zm00001eb066780",6,"C1"
"Zm00001eb068460",2,"C2"
"Zm00001eb081680",6,"C1"
"Zm00001eb076990",2,"C2"
"Zm00001eb111290",2,"C2"
"Zm00001eb109270",2,"C2"
"Zm00001eb096590",2,"C2"
"Zm00001eb116800",2,"C2"
"Zm00001eb114310",2,"C2"
"Zm00001eb076410",7,"C6"
"Zm00001eb102150",2,"C2"
"Zm00001eb095690",5,"C5"
"Zm00001eb106130",5,"C5"
"Zm00001eb108370",6,"C1"
"Zm00001eb067600",6,"C1"
"Zm00001eb073760",2,"C2"
"Zm00001eb118250",7,"C6"
"Zm00001eb067480",3,"C4"
"Zm00001eb089590",7,"C6"
"Zm00001eb079970",2,"C2"
"Zm00001eb076540",7,"C6"
"Zm00001eb075160",2,"C2"
"Zm00001eb096070",7,"C6"
"Zm00001eb105800",3,"C4"
"Zm00001eb081250",2,"C2"
"Zm00001eb085310",2,"C2"
"Zm00001eb114970",3,"C4"
"Zm00001eb070920",2,"C2"
"Zm00001eb105340",2,"C2"
"Zm00001eb101780",6,"C1"
"Zm00001eb117670",7,"C6"
"Zm00001eb068050",2,"C2"
"Zm00001eb106990",6,"C1"
"Zm00001eb079130",6,"C1"
"Zm00001eb099470",2,"C2"
"Zm00001eb107690",7,"C6"
"Zm00001eb070430",7,"C6"
"Zm00001eb090670",2,"C2"
"Zm00001eb077870",3,"C4"
"Zm00001eb091470",5,"C5"
"Zm00001eb097200",2,"C2"
"Zm00001eb066600",2,"C2"
"Zm00001eb088860",2,"C2"
"Zm00001eb102240",6,"C1"
"Zm00001eb092450",2,"C2"
"Zm00001eb071100",2,"C2"
"Zm00001eb102420",6,"C1"
"Zm00001eb070360",6,"C1"
"Zm00001eb083540",1,"C7"
"Zm00001eb100530",3,"C4"
"Zm00001eb089980",3,"C4"
"Zm00001eb104690",5,"C5"
"Zm00001eb100200",1,"C7"
"Zm00001eb086100",7,"C6"
"Zm00001eb106620",2,"C2"
"Zm00001eb084850",3,"C4"
"Zm00001eb066350",3,"C4"
"Zm00001eb076380",3,"C4"
"Zm00001eb105070",2,"C2"
"Zm00001eb102530",2,"C2"
"Zm00001eb099850",2,"C2"
"Zm00001eb104120",1,"C7"
"Zm00001eb113030",6,"C1"
"Zm00001eb102250",2,"C2"
"Zm00001eb116850",2,"C2"
"Zm00001eb096850",2,"C2"
"Zm00001eb112930",2,"C2"
"Zm00001eb115830",2,"C2"
"Zm00001eb095350",7,"C6"
"Zm00001eb093730",2,"C2"
"Zm00001eb091240",3,"C4"
"Zm00001eb069330",5,"C5"
"Zm00001eb105870",2,"C2"
"Zm00001eb076670",6,"C1"
"Zm00001eb106770",2,"C2"
"Zm00001eb078950",2,"C2"
"Zm00001eb067660",3,"C4"
"Zm00001eb104380",2,"C2"
"Zm00001eb086980",3,"C4"
"Zm00001eb094870",3,"C4"
"Zm00001eb100450",5,"C5"
"Zm00001eb094460",2,"C2"
"Zm00001eb070220",2,"C2"
"Zm00001eb085630",2,"C2"
"Zm00001eb087950",1,"C7"
"Zm00001eb110810",1,"C7"
"Zm00001eb078480",2,"C2"
"Zm00001eb097130",3,"C4"
"Zm00001eb071850",6,"C1"
"Zm00001eb075210",7,"C6"
"Zm00001eb103840",2,"C2"
"Zm00001eb088050",7,"C6"
"Zm00001eb086320",2,"C2"
"Zm00001eb093640",7,"C6"
"Zm00001eb074560",3,"C4"
"Zm00001eb088270",2,"C2"
"Zm00001eb101520",6,"C1"
"Zm00001eb108930",2,"C2"
"Zm00001eb110730",2,"C2"
"Zm00001eb081510",2,"C2"
"Zm00001eb104250",2,"C2"
"Zm00001eb106140",5,"C5"
"Zm00001eb098580",5,"C5"
"Zm00001eb118020",5,"C5"
"Zm00001eb086880",2,"C2"
"Zm00001eb116160",1,"C7"
"Zm00001eb116620",2,"C2"
"Zm00001eb067210",2,"C2"
"Zm00001eb075360",6,"C1"
"Zm00001eb070120",3,"C4"
"Zm00001eb114500",2,"C2"
"Zm00001eb106020",2,"C2"
"Zm00001eb093210",5,"C5"
"Zm00001eb073900",2,"C2"
"Zm00001eb118370",6,"C1"
"Zm00001eb083310",2,"C2"
"Zm00001eb099530",6,"C1"
"Zm00001eb082470",6,"C1"
"Zm00001eb088500",1,"C7"
"Zm00001eb071040",1,"C7"
"Zm00001eb109880",3,"C4"
"Zm00001eb066460",3,"C4"
"Zm00001eb065920",6,"C1"
"Zm00001eb085840",7,"C6"
"Zm00001eb109560",3,"C4"
"Zm00001eb074890",1,"C7"
"Zm00001eb101980",5,"C5"
"Zm00001eb096520",6,"C1"
"Zm00001eb073130",2,"C2"
"Zm00001eb106100",3,"C4"
"Zm00001eb068330",2,"C2"
"Zm00001eb113530",3,"C4"
"Zm00001eb093380",2,"C2"
"Zm00001eb113870",6,"C1"
"Zm00001eb091900",2,"C2"
"Zm00001eb094210",6,"C1"
"Zm00001eb113780",7,"C6"
"Zm00001eb108320",3,"C4"
"Zm00001eb078760",6,"C1"
"Zm00001eb077760",2,"C2"
"Zm00001eb071590",2,"C2"
"Zm00001eb081060",1,"C7"
"Zm00001eb107710",2,"C2"
"Zm00001eb089020",7,"C6"
"Zm00001eb110680",3,"C4"
"Zm00001eb068770",3,"C4"
"Zm00001eb072370",3,"C4"
"Zm00001eb084990",2,"C2"
"Zm00001eb097650",2,"C2"
"Zm00001eb108830",2,"C2"
"Zm00001eb102440",6,"C1"
"Zm00001eb097050",5,"C5"
"Zm00001eb067280",3,"C4"
"Zm00001eb078440",1,"C7"
"Zm00001eb102710",2,"C2"
"Zm00001eb114060",2,"C2"
"Zm00001eb116480",3,"C4"
"Zm00001eb068590",2,"C2"
"Zm00001eb068640",2,"C2"
"Zm00001eb083980",3,"C4"
"Zm00001eb100730",3,"C4"
"Zm00001eb114820",2,"C2"
"Zm00001eb066890",7,"C6"
"Zm00001eb084910",2,"C2"
"Zm00001eb095560",2,"C2"
"Zm00001eb075810",3,"C4"
"Zm00001eb118140",2,"C2"
"Zm00001eb073350",2,"C2"
"Zm00001eb097730",1,"C7"
"Zm00001eb089520",3,"C4"
"Zm00001eb086640",5,"C5"
"Zm00001eb088330",6,"C1"
"Zm00001eb068130",6,"C1"
"Zm00001eb070780",5,"C5"
"Zm00001eb070050",2,"C2"
"Zm00001eb091260",2,"C2"
"Zm00001eb067690",6,"C1"
"Zm00001eb069570",3,"C4"
"Zm00001eb093610",2,"C2"
"Zm00001eb072570",3,"C4"
"Zm00001eb077560",3,"C4"
"Zm00001eb079820",2,"C2"
"Zm00001eb100490",2,"C2"
"Zm00001eb098070",2,"C2"
"Zm00001eb070740",6,"C1"
"Zm00001eb086160",2,"C2"
"Zm00001eb092840",3,"C4"
"Zm00001eb112830",6,"C1"
"Zm00001eb118220",2,"C2"
"Zm00001eb108410",2,"C2"
"Zm00001eb066520",6,"C1"
"Zm00001eb105420",2,"C2"
"Zm00001eb078040",2,"C2"
"Zm00001eb109780",2,"C2"
"Zm00001eb102930",6,"C1"
"Zm00001eb105710",6,"C1"
"Zm00001eb097180",2,"C2"
"Zm00001eb103160",3,"C4"
"Zm00001eb093560",3,"C4"
"Zm00001eb082820",6,"C1"
"Zm00001eb108680",3,"C4"
"Zm00001eb112560",6,"C1"
"Zm00001eb111810",2,"C2"
"Zm00001eb070450",6,"C1"
"Zm00001eb087160",4,"C3"
"Zm00001eb078770",7,"C6"
"Zm00001eb101120",4,"C3"
"Zm00001eb067620",1,"C7"
"Zm00001eb095620",2,"C2"
"Zm00001eb082300",6,"C1"
"Zm00001eb111250",2,"C2"
"Zm00001eb107210",3,"C4"
"Zm00001eb083680",1,"C7"
"Zm00001eb118290",2,"C2"
"Zm00001eb068530",5,"C5"
"Zm00001eb070260",6,"C1"
"Zm00001eb066900",2,"C2"
"Zm00001eb104520",2,"C2"
"Zm00001eb079800",3,"C4"
"Zm00001eb089090",7,"C6"
"Zm00001eb078620",2,"C2"
"Zm00001eb094930",3,"C4"
"Zm00001eb091850",2,"C2"
"Zm00001eb066370",2,"C2"
"Zm00001eb097160",3,"C4"
"Zm00001eb094170",3,"C4"
"Zm00001eb084510",3,"C4"
"Zm00001eb088350",1,"C7"
"Zm00001eb111280",2,"C2"
"Zm00001eb095080",3,"C4"
"Zm00001eb111160",2,"C2"
"Zm00001eb067440",2,"C2"
"Zm00001eb078170",2,"C2"
"Zm00001eb085270",2,"C2"
"Zm00001eb068390",7,"C6"
"Zm00001eb065780",2,"C2"
"Zm00001eb116310",2,"C2"
"Zm00001eb104190",7,"C6"
"Zm00001eb071500",2,"C2"
"Zm00001eb088390",3,"C4"
"Zm00001eb107750",1,"C7"
"Zm00001eb080570",7,"C6"
"Zm00001eb096510",7,"C6"
"Zm00001eb103760",5,"C5"
"Zm00001eb111360",3,"C4"
"Zm00001eb068280",3,"C4"
"Zm00001eb096560",2,"C2"
"Zm00001eb109290",4,"C3"
"Zm00001eb067740",3,"C4"
"Zm00001eb102050",3,"C4"
"Zm00001eb071780",3,"C4"
"Zm00001eb075150",3,"C4"
"Zm00001eb094420",2,"C2"
"Zm00001eb085030",2,"C2"
"Zm00001eb075100",6,"C1"
"Zm00001eb081750",7,"C6"
"Zm00001eb103630",2,"C2"
"Zm00001eb089380",2,"C2"
"Zm00001eb095660",2,"C2"
"Zm00001eb066860",3,"C4"
"Zm00001eb091350",2,"C2"
"Zm00001eb116810",2,"C2"
"Zm00001eb113580",6,"C1"
"Zm00001eb088960",6,"C1"
"Zm00001eb102470",1,"C7"
"Zm00001eb105960",6,"C1"
"Zm00001eb106650",2,"C2"
"Zm00001eb079210",6,"C1"
"Zm00001eb079550",6,"C1"
"Zm00001eb109340",3,"C4"
"Zm00001eb080920",3,"C4"
"Zm00001eb093260",3,"C4"
"Zm00001eb077550",6,"C1"
"Zm00001eb091710",2,"C2"
"Zm00001eb097780",6,"C1"
"Zm00001eb112150",3,"C4"
"Zm00001eb075800",7,"C6"
"Zm00001eb109970",2,"C2"
"Zm00001eb111560",6,"C1"
"Zm00001eb083450",6,"C1"
"Zm00001eb082870",6,"C1"
"Zm00001eb090510",3,"C4"
"Zm00001eb094770",6,"C1"
"Zm00001eb107700",5,"C5"
"Zm00001eb101660",1,"C7"
"Zm00001eb085500",6,"C1"
"Zm00001eb094000",2,"C2"
"Zm00001eb108260",3,"C4"
"Zm00001eb088190",3,"C4"
"Zm00001eb106430",1,"C7"
"Zm00001eb069500",5,"C5"
"Zm00001eb110400",1,"C7"
"Zm00001eb101100",2,"C2"
"Zm00001eb103960",2,"C2"
"Zm00001eb116510",6,"C1"
"Zm00001eb074150",2,"C2"
"Zm00001eb093490",7,"C6"
"Zm00001eb079270",2,"C2"
"Zm00001eb070860",1,"C7"
"Zm00001eb097690",3,"C4"
"Zm00001eb068980",7,"C6"
"Zm00001eb072710",2,"C2"
"Zm00001eb069300",2,"C2"
"Zm00001eb110030",3,"C4"
"Zm00001eb074430",6,"C1"
"Zm00001eb102770",3,"C4"
"Zm00001eb110770",2,"C2"
"Zm00001eb085570",2,"C2"
"Zm00001eb112740",2,"C2"
"Zm00001eb066810",2,"C2"
"Zm00001eb098380",6,"C1"
"Zm00001eb099600",2,"C2"
"Zm00001eb083790",5,"C5"
"Zm00001eb099930",2,"C2"
"Zm00001eb108360",7,"C6"
"Zm00001eb108840",6,"C1"
"Zm00001eb085200",6,"C1"
"Zm00001eb080090",3,"C4"
"Zm00001eb074930",7,"C6"
"Zm00001eb072700",3,"C4"
"Zm00001eb080810",3,"C4"
"Zm00001eb096100",2,"C2"
"Zm00001eb070150",7,"C6"
"Zm00001eb094610",2,"C2"
"Zm00001eb112600",3,"C4"
"Zm00001eb104270",2,"C2"
"Zm00001eb113690",2,"C2"
"Zm00001eb068630",2,"C2"
"Zm00001eb093580",6,"C1"
"Zm00001eb114050",5,"C5"
"Zm00001eb080280",5,"C5"
"Zm00001eb105230",2,"C2"
"Zm00001eb069310",7,"C6"
"Zm00001eb117970",2,"C2"
"Zm00001eb074010",1,"C7"
"Zm00001eb109480",7,"C6"
"Zm00001eb106850",7,"C6"
"Zm00001eb105840",2,"C2"
"Zm00001eb065930",2,"C2"
"Zm00001eb079930",2,"C2"
"Zm00001eb080490",2,"C2"
"Zm00001eb097230",2,"C2"
"Zm00001eb117220",2,"C2"
"Zm00001eb066500",7,"C6"
"Zm00001eb082850",2,"C2"
"Zm00001eb082570",2,"C2"
"Zm00001eb108100",3,"C4"
"Zm00001eb078090",3,"C4"
"Zm00001eb065890",6,"C1"
"Zm00001eb096310",2,"C2"
"Zm00001eb108310",6,"C1"
"Zm00001eb109810",2,"C2"
"Zm00001eb095300",2,"C2"
"Zm00001eb079230",3,"C4"
"Zm00001eb105360",6,"C1"
