gene_id,gene_name,tf_family
Zm00001eb252100,bhlh29,bHLH
Zm00001eb258290,gata24,GATA
Zm00001eb215740,bhlh18,bHLH
Zm00001eb122500,d1,non_TF
Zm00001eb313350,ereb143,AP2
Zm00001eb359500,ereb80,ERF
Zm00001eb235510,bzip61,bZIP
Zm00001eb178450,mterf33,mTERF
Zm00001eb080690,myb49,MYB
Zm00001eb279580,tcptf10,TCP
Zm00001eb101360,bhlh151,bHLH
Zm00001eb048370,dof40,Dof
Zm00001eb157080,thx17,Trihelix
Zm00001eb413930,ereb54,ERF
Zm00001eb009550,hb45,HD-ZIP
Zm00001eb315750,hb120,HD-ZIP
Zm00001eb160120,umc2152,C2H2
Zm00001eb294180,wrky82,WRKY
Zm00001eb354510,myb30,MYB
Zm00001eb101880,bhlh6,bHLH
Zm00001eb142960,tcptf8,TCP
Zm00001eb432460,ereb190,ERF
Zm00001eb061430,hb65,HB-other
Zm00001eb209880,thx21,Trihelix
Zm00001eb062640,dof27,Dof
Zm00001eb373970,arftf27,ARF
Zm00001eb106630,ms32,bHLH
Zm00001eb211700,dof33,Dof
Zm00001eb349900,mterf4,mTERF
Zm00001eb431080,bhlh7,bHLH
Zm00001eb108460,AC233952.1_FG008,C2H2
Zm00001eb135200,glk42,G2-like
Zm00001eb224800,nactf113,NAC
Zm00001eb417620,myb149,MYB_related
Zm00001eb179000,hb7,HD-ZIP
Zm00001eb217440,cl53605_1,GRF
Zm00001eb128310,dof6,Dof
Zm00001eb353030,tcptf7,TCP
Zm00001eb240100,gata15,GATA
Zm00001eb368970,wox13b,WOX
Zm00001eb142500,bhlh175,bHLH
Zm00001eb251200,bhlh53,bHLH
Zm00001eb432140,wox4,WOX
Zm00001eb252160,mybr78,MYB_related
Zm00001eb055540,myb77,MYB
Zm00001eb067800,ereb45,ERF
Zm00001eb394180,gbptf9,GeBP
Zm00001eb022070,abi34,B3
Zm00001eb289080,bzip101,bZIP
Zm00001eb105640,sbp13,SBP
Zm00001eb195650,scro1,GRAS
Zm00001eb320600,idd7,C2H2
Zm00001eb393690,abi38,B3
Zm00001eb015750,glk17,G2-like
Zm00001eb415520,bhlh116,bHLH
Zm00001eb198470,bzip43,bZIP
Zm00001eb208910,bzr5,BES1
Zm00001eb265630,cchh26,C2H2
Zm00001eb141310,gras4,GRAS
Zm00001eb185290,arftf15,ARF
Zm00001eb041610,bhlh42,bHLH
Zm00001eb316580,mmp46,C2H2
Zm00001eb280090,e2f12,E2F/DP
Zm00001eb309360,glk101,G2-like
Zm00001eb319460,dbb10,DBB
Zm00001eb234170,glk24,ARR-B
Zm00001eb188410,zhd17,ZF-HD
Zm00001eb323880,bhlh90,bHLH
Zm00001eb086280,wrky105,WRKY
Zm00001eb256420,hb71,HB-other
Zm00001eb056780,wrky107,WRKY
Zm00001eb093560,wri1,AP2
Zm00001eb064730,ca5p4,NF-YC
Zm00001eb056620,gata34,GATA
Zm00001eb200840,IDP8537,C2H2
Zm00001eb011370,bhlh56,bHLH
Zm00001eb218120,lbd26,LBD
Zm00001eb234120,wrky48,WRKY
Zm00001eb255860,ereb139,ERF
Zm00001eb317460,bhlh136,bHLH
Zm00001eb368640,wrky115,WRKY
Zm00001eb074320,b1,bHLH
Zm00001eb392440,AY110782,CAMTA
Zm00001eb275130,bzip76,bZIP
Zm00001eb281570,cpp12,CPP
Zm00001eb010770,ca5p11,NF-YC
Zm00001eb041070,ereb60,AP2
Zm00001eb430640,ereb205,ERF
Zm00001eb257650,AY110182,C3H
Zm00001eb117560,tcptf43,TCP
Zm00001eb248680,nactf10,NAC
Zm00001eb010190,bzip115,bZIP
Zm00001eb093670,gras37,GRAS
Zm00001eb101630,ca5p12,NF-YC
Zm00001eb175150,tga1,SBP
Zm00001eb328900,hsftf27,HSF
Zm00001eb430800,mbd123,MBD
Zm00001eb395640,bzip105,bZIP
Zm00001eb193330,hb83,HB-other
Zm00001eb395300,c3h6,C3H
Zm00001eb399390,bhlh9,bHLH
Zm00001eb255520,mterf21,mTERF
Zm00001eb099470,bhlh88,bHLH
Zm00001eb361200,smh3,MYB_related
Zm00001eb040700,arid9,ARID
Zm00001eb150360,obf3,bZIP
Zm00001eb206080,c3h38,C3H
Zm00001eb427970,abi2,B3
Zm00001eb056630,gata34,GATA
Zm00001eb174990,bbr3,BBR-BPC
Zm00001eb421100,abi21,B3
Zm00001eb218710,smh6,MYB_related
Zm00001eb202410,thx38,Trihelix
Zm00001eb319350,hsftf10,HSF
Zm00001eb250560,ereb16,ERF
Zm00001eb216950,ca2p1,NF-YA
Zm00001eb317770,zmm7,MIKC_MADS
Zm00001eb231040,bzip14,bZIP
Zm00001eb389960,mybr86,MYB_related
Zm00001eb008690,zmm14,MIKC_MADS
Zm00001eb099390,bhlh138,bHLH
Zm00001eb215440,zim2,GATA
Zm00001eb418630,gbptf11,GeBP
Zm00001eb136080,ca2p12,NF-YA
Zm00001eb084300,thx26,Trihelix
Zm00001eb434360,cchh46,C2H2
Zm00001eb406610,glk4,G2-like
Zm00001eb034940,bhlh112,bHLH
Zm00001eb413540,nactf110,NAC
Zm00001eb176680,bzip68,bZIP
Zm00001eb152420,cpp11,CPP
Zm00001eb055620,chb101b,MYB_related
Zm00001eb084940,ba2,non_TF
Zm00001eb229400,thx22,Trihelix
Zm00001eb342580,myb91,MYB_related
Zm00001eb292690,tcptf23,TCP
Zm00001eb371980,glk1,G2-like
Zm00001eb136350,gras50,GRAS
Zm00001eb217350,hb37,TALE
Zm00001eb383050,bhlh34,bHLH
Zm00001eb312870,wrky53,WRKY
Zm00001eb069700,umc1961,bHLH
Zm00001eb062130,bhlh48,bHLH
Zm00001eb001720,knox1,TALE
Zm00001eb037290,bzip62,bZIP
Zm00001eb282210,bhlh123,bHLH
Zm00001eb250580,c3h34,C3H
Zm00001eb253350,bhlh156,bHLH
Zm00001eb433840,dof41,Dof
Zm00001eb182650,hb56,HD-ZIP
Zm00001eb000470,gras53,GRAS
Zm00001eb122550,glk14,G2-like
Zm00001eb011550,ereb4,ERF
Zm00001eb060980,myb80,MYB
Zm00001eb256290,gbptf17,GeBP
Zm00001eb395560,wrky65,WRKY
Zm00001eb417490,wrky126,WRKY
Zm00001eb266360,myb62,MYB
Zm00001eb359740,wrky42,WRKY
Zm00001eb185920,myb166,MYB
Zm00001eb320820,nactf18,NAC
Zm00001eb370600,dof45,Dof
Zm00001eb129520,bhlh68,bHLH
Zm00001eb214190,glk8,G2-like
Zm00001eb157260,nactf82,NAC
Zm00001eb169140,pco137632,NAC
Zm00001eb296830,zhd6,ZF-HD
Zm00001eb316730,eil4,EIL
Zm00001eb146230,myb32,MYB
Zm00001eb299540,mterf23,mTERF
Zm00001eb433050,c3h52,C3H
Zm00001eb209070,bzip84,bZIP
Zm00001eb384820,bzr1,BES1
Zm00001eb288730,mybr3,MYB
Zm00001eb377500,hb4,HD-ZIP
Zm00001eb144450,bhlh132,bHLH
Zm00001eb130740,thx41,Trihelix
Zm00001eb168720,Zm00001d049079,MYB
Zm00001eb104640,thx46,Trihelix
Zm00001eb293740,gata25,GATA
Zm00001eb367300,myb79,MYB
Zm00001eb039810,iddp1,C2H2
Zm00001eb233310,glk53,G2-like
Zm00001eb384320,nactf98,NAC
Zm00001eb398110,ereb173,ERF
Zm00001eb153470,ereb134,ERF
Zm00001eb193550,ereb13,ERF
Zm00001eb360120,thx14,Trihelix
Zm00001eb171050,ereb209,ERF
Zm00001eb395580,myb29,MYB
Zm00001eb433430,c3h14,C3H
Zm00001eb015490,glk26,G2-like
Zm00001eb165340,gras82,GRAS
Zm00001eb041540,myb125,MYB
Zm00001eb324600,gras54,GRAS
Zm00001eb366540,myb163,MYB
Zm00001eb417610,bhlh117,bHLH
Zm00001eb252220,dof29,Dof
Zm00001eb399180,cchh2,C2H2
Zm00001eb066260,myb133,MYB
Zm00001eb062820,mterf5,mTERF
Zm00001eb190160,myb142,MYB
Zm00001eb002010,bzip114,bZIP
Zm00001eb002490,nlp7,Nin-like
Zm00001eb377480,hb77,HD-ZIP
Zm00001eb204490,bzip120,bZIP
Zm00001eb332030,myb11,MYB
Zm00001eb045780,myb121,MYB
Zm00001eb155410,bhlh57,bHLH
Zm00001eb332640,mybr107,MYB_related
Zm00001eb289480,hb76,TALE
Zm00001eb012280,gras67,GRAS
Zm00001eb189900,hb115,HD-ZIP
Zm00001eb187250,mecs1,MYB_related
Zm00001eb158520,gras46,GRAS
Zm00001eb386830,knox2,TALE
Zm00001eb387370,myb112,MYB
Zm00001eb213430,tcptf44,TCP
Zm00001eb292790,dof10,Dof
Zm00001eb224680,arftf18,ARF
Zm00001eb218500,yab6,YABBY
Zm00001eb328650,gbptf12,GeBP
Zm00001eb322390,dof14,Dof
Zm00001eb187450,mybr58,MYB_related
Zm00001eb071110,gl2,non_TF
Zm00001eb384760,hsftf28,HSF
Zm00001eb059920,tcptf5,TCP
Zm00001eb366900,bzip75,bZIP
Zm00001eb409460,mads34,MIKC_MADS
Zm00001eb023620,hb78,HD-ZIP
Zm00001eb178160,wrky94,WRKY
Zm00001eb384240,hb21,TALE
Zm00001eb143520,bhlh32,bHLH
Zm00001eb379460,nactf46,NAC
Zm00001eb107900,mterf9,mTERF
Zm00001eb266370,myb21,MYB
Zm00001eb027860,hb127,HD-ZIP
Zm00001eb186490,ereb176,ERF
Zm00001eb190120,gl4,non_TF
Zm00001eb074830,hb53,HD-ZIP
Zm00001eb427020,tcptf14,TCP
Zm00001eb397240,prrtf1,Pseudo_ARR-B
Zm00001eb238140,bhlh139,bHLH
Zm00001eb105770,dof34,Dof
Zm00001eb188100,wrky11,WRKY
Zm00001eb149360,lbd20,LBD
Zm00001eb327140,ca3p4,NF-YB
Zm00001eb210530,hsftf22,HSF
Zm00001eb195920,wri2,AP2
Zm00001eb346880,wrky34,WRKY
Zm00001eb107800,hb107,HD-ZIP
Zm00001eb233790,col18,CO-like
Zm00001eb044660,dof13,Dof
Zm00001eb216610,d9,GRAS
Zm00001eb212120,nactf6,NAC
Zm00001eb103490,prrh1,Pseudo_ARR-B
Zm00001eb253280,dof42,Dof
Zm00001eb181760,thx40,Trihelix
Zm00001eb181510,e2f16,E2F/DP
Zm00001eb395100,bzip124,bZIP
Zm00001eb075510,nactf131,NAC
Zm00001eb265410,phd12,zf-MIZ
Zm00001eb398190,bhlh143,bHLH
Zm00001eb061930,bzip29,bZIP
Zm00001eb247330,toc2,Pseudo_ARR-B
Zm00001eb273390,ereb19,ERF
Zm00001eb073010,abi12,B3
Zm00001eb181970,yy1,C2H2
Zm00001eb265240,mybr63,MYB_related
Zm00001eb326020,gras19,GRAS
Zm00001eb053560,pap25,E2F/DP
Zm00001eb147220,lg2,bZIP
Zm00001eb232000,glk18,G2-like
Zm00001eb102780,bzip65,bZIP
Zm00001eb110370,bzip91,bZIP
Zm00001eb300360,yab3,YABBY
Zm00001eb064880,wrky10,WRKY
Zm00001eb408080,tcptf12,TCP
Zm00001eb036040,bhlh81,bHLH
Zm00001eb254860,ereb187,AP2
Zm00001eb281290,si606058e04,AT_hook
Zm00001eb311960,mwp1,G2-like
Zm00001eb241300,hsftf29,HSF
Zm00001eb242480,hsftf6,HSF
Zm00001eb122740,bzip6,bZIP
Zm00001eb415660,c3h31,C3H
Zm00001eb386770,bzip93,bZIP
Zm00001eb101420,dof2,Dof
Zm00001eb325550,bes1,BES1
Zm00001eb080570,grf1,non_TF
Zm00001eb268180,ereb72,ERF
Zm00001eb364360,sbp18,SBP
Zm00001eb189080,col9,CO-like
Zm00001eb365340,jmj11,C2H2
Zm00001eb041890,kan1,G2-like
Zm00001eb338940,ereb96,ERF
Zm00001eb193920,bhlh36,bHLH
Zm00001eb084180,s1fa1,S1Fa-like
Zm00001eb390910,thx28,Trihelix
Zm00001eb388180,c3h18,C3H
Zm00001eb146650,ereb174,ERF
Zm00001eb407530,bzip10,bZIP
Zm00001eb222650,e2f18,E2F/DP
Zm00001eb423330,thx2,Trihelix
Zm00001eb054670,gbptf3,GeBP
Zm00001eb179590,bhlh40,bHLH
Zm00001eb143080,mads69,M-type_MADS
Zm00001eb157620,gata35,GATA
Zm00001eb087050,gl14,non_TF
Zm00001eb406660,glk5,G2-like
Zm00001eb018020,gbptf18,GeBP
Zm00001eb371070,gata13,GATA
Zm00001eb020740,lbd6,LBD
Zm00001eb279090,ereb27,ERF
Zm00001eb309590,ereb94,ERF
Zm00001eb107170,c3h15,C3H
Zm00001eb145580,nactf109,NAC
Zm00001eb275490,myb158,MYB
Zm00001eb407990,cchh35,C2H2
Zm00001eb050760,IDP7202,LSD
Zm00001eb237340,cpp9,CPP
Zm00001eb058370,TIDP3413,C2H2
Zm00001eb108240,lbd14,LBD
Zm00001eb384950,mads71,M-type_MADS
Zm00001eb310270,wrky79,WRKY
Zm00001eb150140,myb138,MYB
Zm00001eb353230,lbd38,LBD
Zm00001eb410950,myb109,MYB_related
Zm00001eb148190,glk54,G2-like
Zm00001eb073560,ereb68,ERF
Zm00001eb192920,mterf14,mTERF
Zm00001eb188460,dof43,Dof
Zm00001eb240740,arid6,HMG_box
Zm00001eb075300,dbb2,DBB
Zm00001eb328570,tcptf38,TCP
Zm00001eb231360,bzip160,bZIP
Zm00001eb250390,dof22,Dof
Zm00001eb372610,mads60,M-type_MADS
Zm00001eb428830,dof23,Dof
Zm00001eb250760,abi16,B3
Zm00001eb424710,wrky59,WRKY
Zm00001eb118900,g2,G2-like
Zm00001eb168870,abi36,B3
Zm00001eb068530,ereb47,ERF
Zm00001eb172290,TIDP2780,LSD
Zm00001eb255970,bzip4,bZIP
Zm00001eb233420,bzip104,bZIP
Zm00001eb037480,tcptf21,TCP
Zm00001eb266750,dof3,Dof
Zm00001eb066640,arftf3,ARF
Zm00001eb432100,ereb212,AP2
Zm00001eb152630,dof37,Dof
Zm00001eb319090,ocl3,HD-ZIP
Zm00001eb226740,zim36,GATA
Zm00001eb027720,gras21,GRAS
Zm00001eb074460,gras31,GRAS
Zm00001eb320470,thx48,Trihelix
Zm00001eb208150,sbp20,SBP
Zm00001eb273840,arftf22,ARF
Zm00001eb429830,myb68,MYB
Zm00001eb001990,nactf33,NAC
Zm00001eb024330,myc7,bHLH
Zm00001eb002830,bhlh35,bHLH
Zm00001eb193670,ereb7,ERF
Zm00001eb364850,bhlh55,bHLH
Zm00001eb174000,mads32,MIKC_MADS
Zm00001eb050790,bhlh43,bHLH
Zm00001eb071590,wrky50,WRKY
Zm00001eb051350,abi24,B3
Zm00001eb148290,gras23,GRAS
Zm00001eb064180,farl3,FAR1
Zm00001eb246520,bhlh176,bHLH
Zm00001eb134520,yab12,YABBY
Zm00001eb273540,arftf21,ARF
Zm00001eb184110,dbb4,DBB
Zm00001eb251530,wrky46,WRKY
Zm00001eb238570,bzip89,bZIP
Zm00001eb283990,Zm00001eb283990,non_TF
Zm00001eb028430,obf1,bZIP
Zm00001eb349450,glk3,G2-like
Zm00001eb086370,bhlh144,bHLH
Zm00001eb158610,c3h21,C3H
Zm00001eb259650,bzip38,bZIP
Zm00001eb136460,dof46,Dof
Zm00001eb183160,mterf13,mTERF
Zm00001eb337530,nactf47,NAC
Zm00001eb330910,nactf2,NAC
Zm00001eb390330,bhlh91,bHLH
Zm00001eb136980,bzip48,bZIP
Zm00001eb310260,wrky37,WRKY
Zm00001eb200970,tcptf2,TCP
Zm00001eb073830,nkd1,C2H2
Zm00001eb146690,bzip95,bZIP
Zm00001eb033570,thx8,Trihelix
Zm00001eb120740,dbb3,DBB
Zm00001eb301170,cpp1,CPP
Zm00001eb155280,smh4,MYB_related
Zm00001eb153520,voz4,VOZ
Zm00001eb355710,dof5,Dof
Zm00001eb011070,farl1,FAR1
Zm00001eb273020,zim20,GATA
Zm00001eb399830,arr1,ARR-B
Zm00001eb161460,mybr17,MYB_related
Zm00001eb324750,znf10,C2H2
Zm00001eb249840,gras10,GRAS
Zm00001eb259370,tcptf4,TCP
Zm00001eb117090,mads62,M-type_MADS
Zm00001eb362240,glk56,G2-like
Zm00001eb017630,mterf1,mTERF
Zm00001eb319590,GRMZM2G179024,Pseudo_ARR-B
Zm00001eb359300,c3h9,C3H
Zm00001eb415010,ereb163,AP2
Zm00001eb387280,gl15,AP2
Zm00001eb001630,bhlh140,bHLH
Zm00001eb284010,zag1,MIKC_MADS
Zm00001eb031700,arftf34,ARF
Zm00001eb067740,lg1,SBP
Zm00001eb243730,nactf133,NAC
Zm00001eb064860,hsftf5,HSF
Zm00001eb170920,col17,CO-like
Zm00001eb291140,glk43,G2-like
Zm00001eb302890,ereb82,ERF
Zm00001eb370470,cpp7,CPP
Zm00001eb075170,wrky101,WRKY
Zm00001eb245030,nactf30,NAC
Zm00001eb374110,ereb160,ERF
Zm00001eb040160,myb167,MYB_related
Zm00001eb187260,mybr64,MYB_related
Zm00001eb073550,ereb105,ERF
Zm00001eb163520,gfa1,FAR1
Zm00001eb271520,ereb25,ERF
Zm00001eb219990,mybr99,MYB_related
Zm00001eb065440,mybr95,MYB_related
Zm00001eb071780,thx23,Trihelix
Zm00001eb195490,ereb155,ERF
Zm00001eb249470,ereb104,ERF
Zm00001eb199430,ca5p14,NF-YC
Zm00001eb234870,ereb138,ERF
Zm00001eb024300,nactf43,NAC
Zm00001eb101350,bzip82,bZIP
Zm00001eb273570,myb115,MYB
Zm00001eb318060,ereb116,ERF
Zm00001eb154070,hsftf31,HSF
Zm00001eb006680,bhlh160,bHLH
Zm00001eb006700,hb5,HD-ZIP
Zm00001eb389660,bzip17,bZIP
Zm00001eb037530,ereb79,ERF
Zm00001eb164360,umc2278,C2H2
Zm00001eb397720,gras1,GRAS
Zm00001eb187310,gras76,GRAS
Zm00001eb135910,nactf108,NAC
Zm00001eb227200,glk10,G2-like
Zm00001eb294560,myb99,MYB
Zm00001eb100800,ereb211,ERF
Zm00001eb335680,mybr18,MYB_related
Zm00001eb288080,glk51,G2-like
Zm00001eb296340,gbf1,bZIP
Zm00001eb153330,wrky103,WRKY
Zm00001eb333460,c3h28,C3H
Zm00001eb160100,c3h2,C3H
Zm00001eb056050,grftf1,GRF
Zm00001eb192430,bhlh12,bHLH
Zm00001eb409800,jmj8,C2H2
Zm00001eb428070,mybr111,MYB_related
Zm00001eb016100,bzip98,bZIP
Zm00001eb295830,arftf24,ARF
Zm00001eb054480,d8,GRAS
Zm00001eb320950,nlp13,Nin-like
Zm00001eb348760,myb25,MYB
Zm00001eb068520,ereb197,AP2
Zm00001eb187120,dof17,Dof
Zm00001eb234270,knox6,TALE
Zm00001eb038010,bzip49,bZIP
Zm00001eb256690,mybr67,MYB_related
Zm00001eb109820,myb7,MYB
Zm00001eb364110,tcptf20,TCP
Zm00001eb371000,hstf2,HSF
Zm00001eb256160,gbptf16,GeBP
Zm00001eb333350,nactf97,NAC
Zm00001eb149820,ppr191,NAC
Zm00001eb246270,gl8,non_TF
Zm00001eb319530,srs7,SRS
Zm00001eb372360,nlp14,Nin-like
Zm00001eb261760,AY110100,LSD
Zm00001eb406520,ddt6,non_TF
Zm00001eb393510,ereb67,ERF
Zm00001eb270930,dbb8,DBB
Zm00001eb335200,ereb118,ERF
Zm00001eb030990,wrky3,WRKY
Zm00001eb081720,thx15,Trihelix
Zm00001eb257810,lrl3,bHLH
Zm00001eb363940,nactf9,NAC
Zm00001eb176840,nactf92,NAC
Zm00001eb336820,bzip122,bZIP
Zm00001eb206360,ereb8,ERF
Zm00001eb393300,wrky61,WRKY
Zm00001eb023210,ereb44,ERF
Zm00001eb102540,nactf35,NAC
Zm00001eb350280,wrky92,WRKY
Zm00001eb296640,c3h3,C3H
Zm00001eb330490,ereb200,ERF
Zm00001eb379340,gras32,GRAS
Zm00001eb274210,mybr77,MYB_related
Zm00001eb293840,hb47,HB-PHD
Zm00001eb175540,bhlh165,bHLH
Zm00001eb129860,sbp24,SBP
Zm00001eb215560,grftf14,GRF
Zm00001eb099980,ereb202,ERF
Zm00001eb009170,hsftf14,HSF
Zm00001eb122050,ca5p15,NF-YC
Zm00001eb107910,gras75,GRAS
Zm00001eb344600,zhd11,ZF-HD
Zm00001eb009140,crr8,ARR-B
Zm00001eb317890,nactf63,NAC
Zm00001eb063390,sbp17,SBP
Zm00001eb151260,LOC103651133,MYB_related
Zm00001eb156040,ereb126,RAV
Zm00001eb029220,dof11,Dof
Zm00001eb374760,arr2,ARR-B
Zm00001eb433460,arftf30,ARF
Zm00001eb010280,mybr59,MYB_related
Zm00001eb349820,mbd101,MBD
Zm00001eb193180,grftf10,GRF
Zm00001eb023780,mybr32,MYB_related
Zm00001eb344160,wrky106,WRKY
Zm00001eb285760,ereb69,ERF
Zm00001eb136720,myb6,MYB
Zm00001eb020850,gras58,GRAS
Zm00001eb028820,myb56,MYB
Zm00001eb063930,cchh5,C2H2
Zm00001eb136130,arftf9,ARF
Zm00001eb063940,mterf6,mTERF
Zm00001eb313510,gl1,non_TF
Zm00001eb011300,pza03344,AP2
Zm00001eb171140,mbd122,MBD
Zm00001eb051480,lbd10,LBD
Zm00001eb278680,pl1,MYB
Zm00001eb051310,glk23,G2-like
Zm00001eb288970,bzip87,bZIP
Zm00001eb185160,myb39,MYB
Zm00001eb314630,gbptf7,GeBP
Zm00001eb174220,bhlh85,bHLH
Zm00001eb348560,ereb113,ERF
Zm00001eb150010,bzip102,bZIP
Zm00001eb070890,mads9,MIKC_MADS
Zm00001eb293010,hb2,non_TF
Zm00001eb011560,gras61,GRAS
Zm00001eb037440,bhlh145,bHLH
Zm00001eb356430,wrky68,WRKY
Zm00001eb175500,nactf75,NAC
Zm00001eb103370,bbx6,DBB
Zm00001eb268690,hb38,TALE
Zm00001eb121610,wrky56,WRKY
Zm00001eb294830,ereb162,RAV
Zm00001eb168040,ereb106,ERF
Zm00001eb312120,myb66,MYB
Zm00001eb416800,bhlh162,bHLH
Zm00001eb082700,gras25,GRAS
Zm00001eb003470,myb120,MYB
Zm00001eb288360,nactf20,NAC
