gene_id,level,gene_name,tf_family
Zm00001eb287710,9,mterf22,mTERF
Zm00001eb288730,9,mybr3,MYB
Zm00001eb294180,9,wrky82,WRKY
Zm00001eb295810,9,nactf87,NAC
Zm00001eb298580,9,wrky85,WRKY
Zm00001eb301520,9,bhlh39,bHLH
Zm00001eb313350,9,ereb143,AP2
Zm00001eb315750,9,hb120,HD-ZIP
Zm00001eb315870,9,bhlh86,bHLH
Zm00001eb316580,9,mmp46,C2H2
Zm00001eb324600,9,gras54,GRAS
Zm00001eb336500,9,myb76,MYB
Zm00001eb337410,9,mybr24,MYB_related
Zm00001eb348760,9,myb25,MYB
Zm00001eb349120,9,nactf88,NAC
Zm00001eb349900,9,mterf4,mTERF
Zm00001eb354510,9,myb30,MYB
Zm00001eb354920,9,c3h7,C3H
Zm00001eb358700,9,hsftf25,HSF
Zm00001eb359500,9,ereb80,ERF
Zm00001eb360750,9,abi33,RAV
Zm00001eb365080,9,hdt104,C2H2
Zm00001eb368640,9,wrky115,WRKY
Zm00001eb368850,9,wrky90,WRKY
Zm00001eb370850,9,voz5,VOZ
Zm00001eb372490,9,tcptf9,TCP
Zm00001eb374110,9,ereb160,ERF
Zm00001eb374830,9,ereb207,ERF
Zm00001eb376740,9,prf5,DBB
Zm00001eb377500,9,hb4,HD-ZIP
Zm00001eb379950,9,col4,CO-like
Zm00001eb385190,9,gata29,GATA
Zm00001eb389660,9,bzip17,bZIP
Zm00001eb391280,9,gata28,GATA
Zm00001eb393690,9,abi38,B3
Zm00001eb394180,9,gbptf9,GeBP
Zm00001eb395380,9,nactf29,NAC
Zm00001eb395560,9,wrky65,WRKY
Zm00001eb397240,9,prrtf1,Pseudo_ARR-B
Zm00001eb398110,9,ereb173,ERF
Zm00001eb407120,9,e2f11,E2F/DP
Zm00001eb413920,9,wrky33,WRKY
Zm00001eb413930,9,ereb54,ERF
Zm00001eb417490,9,wrky126,WRKY
Zm00001eb417610,9,bhlh117,bHLH
Zm00001eb417620,9,myb149,MYB_related
Zm00001eb429330,9,r1,bHLH
Zm00001eb431760,9,bzip113,bZIP
Zm00001eb432450,9,farl15,FAR1
Zm00001eb432460,9,ereb190,ERF
Zm00001eb433050,9,c3h52,C3H
Zm00001eb433430,9,c3h14,C3H
Zm00001eb000470,10,gras53,GRAS
Zm00001eb001720,10,knox1,TALE
Zm00001eb001990,10,nactf33,NAC
Zm00001eb002010,10,bzip114,bZIP
Zm00001eb002490,10,nlp7,Nin-like
Zm00001eb009140,10,crr8,ARR-B
Zm00001eb011300,10,pza03344,AP2
Zm00001eb011550,10,ereb4,ERF
Zm00001eb011560,10,gras61,GRAS
Zm00001eb015490,10,glk26,G2-like
Zm00001eb017630,10,mterf1,mTERF
Zm00001eb018020,10,gbptf18,GeBP
Zm00001eb020740,10,lbd6,LBD
Zm00001eb023620,10,hb78,HD-ZIP
Zm00001eb024330,10,myc7,bHLH
Zm00001eb027860,10,hb127,HD-ZIP
Zm00001eb028430,10,obf1,bZIP
Zm00001eb031300,10,cpp2,CPP
Zm00001eb031700,10,arftf34,ARF
Zm00001eb033570,10,thx8,Trihelix
Zm00001eb034940,10,bhlh112,bHLH
Zm00001eb035740,10,mterf2,mTERF
Zm00001eb037290,10,bzip62,bZIP
Zm00001eb038070,10,ereb172,ERF
Zm00001eb039810,10,iddp1,C2H2
Zm00001eb040700,10,arid9,ARID
Zm00001eb041540,10,myb125,MYB
Zm00001eb044660,10,dof13,Dof
Zm00001eb045780,10,myb121,MYB
Zm00001eb050760,10,IDP7202,LSD
Zm00001eb051120,10,wrky102,WRKY
Zm00001eb051350,10,abi24,B3
Zm00001eb053830,10,ca2p16,NF-YA
Zm00001eb054480,10,d8,GRAS
Zm00001eb056050,10,grftf1,GRF
Zm00001eb056620,10,gata34,GATA
Zm00001eb062130,10,bhlh48,bHLH
Zm00001eb064860,10,hsftf5,HSF
Zm00001eb065440,10,mybr95,MYB_related
Zm00001eb066640,10,arftf3,ARF
Zm00001eb067800,10,ereb45,ERF
Zm00001eb068530,10,ereb47,ERF
Zm00001eb069700,10,umc1961,bHLH
Zm00001eb071110,10,gl2,non_TF
Zm00001eb073560,10,ereb68,ERF
Zm00001eb074460,10,gras31,GRAS
Zm00001eb074830,10,hb53,HD-ZIP
Zm00001eb078590,10,nlp3,Nin-like
Zm00001eb080570,10,grf1,non_TF
Zm00001eb084180,10,s1fa1,S1Fa-like
Zm00001eb084940,10,ba2,non_TF
Zm00001eb086370,10,bhlh144,bHLH
Zm00001eb087050,10,gl14,non_TF
Zm00001eb098960,10,hb34,HD-ZIP
Zm00001eb100750,10,bzip123,bZIP
Zm00001eb101410,10,bhlh157,bHLH
Zm00001eb101880,10,bhlh6,bHLH
Zm00001eb103370,10,bbx6,DBB
Zm00001eb103490,10,prrh1,Pseudo_ARR-B
Zm00001eb103730,10,myb31,MYB
Zm00001eb104640,10,thx46,Trihelix
Zm00001eb104750,10,AY109722,C2H2
Zm00001eb105770,10,dof34,Dof
Zm00001eb107900,10,mterf9,mTERF
Zm00001eb107910,10,gras75,GRAS
Zm00001eb108460,10,AC233952.1_FG008,C2H2
Zm00001eb109820,10,myb7,MYB
Zm00001eb110370,10,bzip91,bZIP
Zm00001eb118900,10,g2,G2-like
Zm00001eb120740,10,dbb3,DBB
Zm00001eb122550,10,glk14,G2-like
Zm00001eb129520,10,bhlh68,bHLH
Zm00001eb129860,10,sbp24,SBP
Zm00001eb130740,10,thx41,Trihelix
Zm00001eb134600,10,mbd105,MBD
Zm00001eb135910,10,nactf108,NAC
Zm00001eb136460,10,dof46,Dof
Zm00001eb142500,10,bhlh175,bHLH
Zm00001eb143520,10,bhlh32,bHLH
Zm00001eb145580,10,nactf109,NAC
Zm00001eb146230,10,myb32,MYB
Zm00001eb146690,10,bzip95,bZIP
Zm00001eb148190,10,glk54,G2-like
Zm00001eb148290,10,gras23,GRAS
Zm00001eb149360,10,lbd20,LBD
Zm00001eb149820,10,ppr191,NAC
Zm00001eb150140,10,myb138,MYB
Zm00001eb150360,10,obf3,bZIP
Zm00001eb152420,10,cpp11,CPP
Zm00001eb153100,10,hox3,HB-PHD
Zm00001eb153470,10,ereb134,ERF
Zm00001eb155280,10,smh4,MYB_related
Zm00001eb155410,10,bhlh57,bHLH
Zm00001eb157260,10,nactf82,NAC
Zm00001eb157450,10,hmg4,HMG_box
Zm00001eb158520,10,gras46,GRAS
Zm00001eb158610,10,c3h21,C3H
Zm00001eb163520,10,gfa1,FAR1
Zm00001eb165340,10,gras82,GRAS
Zm00001eb168040,10,ereb106,ERF
Zm00001eb168720,10,Zm00001d049079,MYB
Zm00001eb171140,10,mbd122,MBD
Zm00001eb172290,10,TIDP2780,LSD
Zm00001eb175840,10,nactf12,NAC
Zm00001eb176680,10,bzip68,bZIP
Zm00001eb178160,10,wrky94,WRKY
Zm00001eb178450,10,mterf33,mTERF
Zm00001eb181960,10,mybr38,MYB_related
Zm00001eb182650,10,hb56,HD-ZIP
Zm00001eb186490,10,ereb176,ERF
Zm00001eb187250,10,mecs1,MYB_related
Zm00001eb187260,10,mybr64,MYB_related
Zm00001eb187310,10,gras76,GRAS
Zm00001eb187450,10,mybr58,MYB_related
Zm00001eb188100,10,wrky11,WRKY
Zm00001eb189510,10,dof9,Dof
Zm00001eb189900,10,hb115,HD-ZIP
Zm00001eb190160,10,myb142,MYB
Zm00001eb192920,10,mterf14,mTERF
Zm00001eb193670,10,ereb7,ERF
Zm00001eb195490,10,ereb155,ERF
Zm00001eb195920,10,wri2,AP2
Zm00001eb200970,10,tcptf2,TCP
Zm00001eb203940,10,wrky8,WRKY
Zm00001eb204490,10,bzip120,bZIP
Zm00001eb206080,10,c3h38,C3H
Zm00001eb208150,10,sbp20,SBP
Zm00001eb209070,10,bzip84,bZIP
Zm00001eb209480,10,bhlh128,bHLH
Zm00001eb210530,10,hsftf22,HSF
Zm00001eb213430,10,tcptf44,TCP
Zm00001eb214190,10,glk8,G2-like
Zm00001eb216610,10,d9,GRAS
Zm00001eb216950,10,ca2p1,NF-YA
Zm00001eb218500,10,yab6,YABBY
Zm00001eb224680,10,arftf18,ARF
Zm00001eb226740,10,zim36,GATA
Zm00001eb227200,10,glk10,G2-like
Zm00001eb228620,10,hmg1,HMG_box
Zm00001eb233420,10,bzip104,bZIP
Zm00001eb234120,10,wrky48,WRKY
Zm00001eb234270,10,knox6,TALE
Zm00001eb237820,10,wrky2,WRKY
Zm00001eb238140,10,bhlh139,bHLH
Zm00001eb238570,10,bzip89,bZIP
Zm00001eb240100,10,gata15,GATA
Zm00001eb244400,10,thx24,Trihelix
Zm00001eb246270,10,gl8,non_TF
Zm00001eb248270,10,tcptf16,TCP
Zm00001eb249840,10,gras10,GRAS
Zm00001eb250240,10,iddp10,C2H2
Zm00001eb250560,10,ereb16,ERF
Zm00001eb251200,10,bhlh53,bHLH
Zm00001eb252220,10,dof29,Dof
Zm00001eb253350,10,bhlh156,bHLH
Zm00001eb255520,10,mterf21,mTERF
Zm00001eb255970,10,bzip4,bZIP
Zm00001eb258400,10,nactf104,NAC
Zm00001eb259650,10,bzip38,bZIP
Zm00001eb266370,10,myb21,MYB
Zm00001eb283990,10,Zm00001eb283990,non_TF
Zm00001eb285760,10,ereb69,ERF
Zm00001eb289080,10,bzip101,bZIP
Zm00001eb289480,10,hb76,TALE
Zm00001eb292380,10,cpp4,CPP
Zm00001eb292790,10,dof10,Dof
Zm00001eb293740,10,gata25,GATA
Zm00001eb295800,10,hb3,HB-other
Zm00001eb295830,10,arftf24,ARF
Zm00001eb299540,10,mterf23,mTERF
Zm00001eb301170,10,cpp1,CPP
Zm00001eb310260,10,wrky37,WRKY
Zm00001eb310270,10,wrky79,WRKY
Zm00001eb312870,10,wrky53,WRKY
Zm00001eb313510,10,gl1,non_TF
Zm00001eb314630,10,gbptf7,GeBP
Zm00001eb316260,10,ca5p16,NF-YC
Zm00001eb316730,10,eil4,EIL
Zm00001eb317460,10,bhlh136,bHLH
Zm00001eb319090,10,ocl3,HD-ZIP
Zm00001eb320470,10,thx48,Trihelix
Zm00001eb320600,10,idd7,C2H2
Zm00001eb322390,10,dof14,Dof
Zm00001eb324750,10,znf10,C2H2
Zm00001eb327140,10,ca3p4,NF-YB
Zm00001eb328650,10,gbptf12,GeBP
Zm00001eb330830,10,c3h20,C3H
Zm00001eb332030,10,myb11,MYB
Zm00001eb332640,10,mybr107,MYB_related
Zm00001eb335200,10,ereb118,ERF
Zm00001eb335900,10,gl26,non_TF
Zm00001eb338940,10,ereb96,ERF
Zm00001eb346880,10,wrky34,WRKY
Zm00001eb349010,10,nactf38,NAC
Zm00001eb349450,10,glk3,G2-like
Zm00001eb349820,10,mbd101,MBD
Zm00001eb350280,10,wrky92,WRKY
Zm00001eb353030,10,tcptf7,TCP
Zm00001eb353230,10,lbd38,LBD
Zm00001eb356430,10,wrky68,WRKY
Zm00001eb357780,10,mybr35,MYB_related
Zm00001eb359740,10,wrky42,WRKY
Zm00001eb360120,10,thx14,Trihelix
Zm00001eb366540,10,myb163,MYB
Zm00001eb366900,10,bzip75,bZIP
Zm00001eb367300,10,myb79,MYB
Zm00001eb368970,10,wox13b,WOX
Zm00001eb369730,10,mrpi1,C2H2
Zm00001eb370470,10,cpp7,CPP
Zm00001eb370600,10,dof45,Dof
Zm00001eb371070,10,gata13,GATA
Zm00001eb372660,10,ereb31,ERF
Zm00001eb375580,10,ereb122,ERF
Zm00001eb377480,10,hb77,HD-ZIP
Zm00001eb379300,10,mybr69,MYB_related
Zm00001eb379460,10,nactf46,NAC
Zm00001eb383050,10,bhlh34,bHLH
Zm00001eb384240,10,hb21,TALE
Zm00001eb384320,10,nactf98,NAC
Zm00001eb384760,10,hsftf28,HSF
Zm00001eb384820,10,bzr1,BES1
Zm00001eb385610,10,bzip80,bZIP
Zm00001eb386830,10,knox2,TALE
Zm00001eb387370,10,myb112,MYB
Zm00001eb389540,10,col13,CO-like
Zm00001eb390330,10,bhlh91,bHLH
Zm00001eb391130,10,mybst1,MYB_related
Zm00001eb392440,10,AY110782,CAMTA
Zm00001eb392530,10,TIDP2890,bHLH
Zm00001eb395640,10,bzip105,bZIP
Zm00001eb399180,10,cchh2,C2H2
Zm00001eb399830,10,arr1,ARR-B
Zm00001eb407990,10,cchh35,C2H2
Zm00001eb408520,10,wrky15,WRKY
Zm00001eb409460,10,mads34,MIKC_MADS
Zm00001eb415010,10,ereb163,AP2
Zm00001eb416370,10,mybr84,MYB_related
Zm00001eb417000,10,c3h24,C3H
Zm00001eb421100,10,abi21,B3
Zm00001eb424710,10,wrky59,WRKY
Zm00001eb427020,10,tcptf14,TCP
Zm00001eb427600,10,dbb12,DBB
Zm00001eb428830,10,dof23,Dof
Zm00001eb431080,10,bhlh7,bHLH
Zm00001eb432100,10,ereb212,AP2
Zm00001eb432140,10,wox4,WOX
Zm00001eb000690,11,rld2,HD-ZIP
Zm00001eb002830,11,bhlh35,bHLH
Zm00001eb010280,11,mybr59,MYB_related
Zm00001eb010770,11,ca5p11,NF-YC
Zm00001eb011070,11,farl1,FAR1
Zm00001eb015120,11,myb75,MYB
Zm00001eb015750,11,glk17,G2-like
Zm00001eb016100,11,bzip98,bZIP
Zm00001eb020850,11,gras58,GRAS
Zm00001eb023210,11,ereb44,ERF
Zm00001eb027720,11,gras21,GRAS
Zm00001eb029220,11,dof11,Dof
Zm00001eb032060,11,mbd106,MBD
Zm00001eb037440,11,bhlh145,bHLH
Zm00001eb037480,11,tcptf21,TCP
Zm00001eb038010,11,bzip49,bZIP
Zm00001eb048370,11,dof40,Dof
Zm00001eb050220,11,mbd115,MBD
Zm00001eb050660,11,hb124,HD-ZIP
Zm00001eb050790,11,bhlh43,bHLH
Zm00001eb059920,11,tcptf5,TCP
Zm00001eb061930,11,bzip29,bZIP
Zm00001eb063390,11,sbp17,SBP
Zm00001eb063940,11,mterf6,mTERF
Zm00001eb064730,11,ca5p4,NF-YC
Zm00001eb067740,11,lg1,SBP
Zm00001eb071780,11,thx23,Trihelix
Zm00001eb073830,11,nkd1,C2H2
Zm00001eb074320,11,b1,bHLH
Zm00001eb075170,11,wrky101,WRKY
Zm00001eb075300,11,dbb2,DBB
Zm00001eb081720,11,thx15,Trihelix
Zm00001eb082700,11,gras25,GRAS
Zm00001eb084300,11,thx26,Trihelix
Zm00001eb095110,11,nactf5,NAC
Zm00001eb095290,11,bzip86,bZIP
Zm00001eb099470,11,bhlh88,bHLH
Zm00001eb099980,11,ereb202,ERF
Zm00001eb102540,11,nactf35,NAC
Zm00001eb102780,11,bzip65,bZIP
Zm00001eb117090,11,mads62,M-type_MADS
Zm00001eb117560,11,tcptf43,TCP
Zm00001eb122740,11,bzip6,bZIP
Zm00001eb134520,11,yab12,YABBY
Zm00001eb136130,11,arftf9,ARF
Zm00001eb136720,11,myb6,MYB
Zm00001eb146650,11,ereb174,ERF
Zm00001eb149810,11,nactf70,NAC
Zm00001eb150010,11,bzip102,bZIP
Zm00001eb152630,11,dof37,Dof
Zm00001eb153330,11,wrky103,WRKY
Zm00001eb154070,11,hsftf31,HSF
Zm00001eb156040,11,ereb126,RAV
Zm00001eb161460,11,mybr17,MYB_related
Zm00001eb168870,11,abi36,B3
Zm00001eb170920,11,col17,CO-like
Zm00001eb174220,11,bhlh85,bHLH
Zm00001eb178500,11,cadtfr3,NF-YB
Zm00001eb182260,11,arftf14,ARF
Zm00001eb183160,11,mterf13,mTERF
Zm00001eb183200,11,mads39,MIKC_MADS
Zm00001eb184110,11,dbb4,DBB
Zm00001eb185160,11,myb39,MYB
Zm00001eb185290,11,arftf15,ARF
Zm00001eb188460,11,dof43,Dof
Zm00001eb189080,11,col9,CO-like
Zm00001eb190840,11,TIDP7116,AT_hook
Zm00001eb193330,11,hb83,HB-other
Zm00001eb193920,11,bhlh36,bHLH
Zm00001eb198470,11,bzip43,bZIP
Zm00001eb200840,11,IDP8537,C2H2
Zm00001eb202260,11,bzip110,bZIP
Zm00001eb206360,11,ereb8,ERF
Zm00001eb207650,11,c3h1,C3H
Zm00001eb208910,11,bzr5,BES1
Zm00001eb216910,11,c3h27,C3H
Zm00001eb218710,11,smh6,MYB_related
Zm00001eb231360,11,bzip160,bZIP
Zm00001eb237340,11,cpp9,CPP
Zm00001eb240740,11,arid6,HMG_box
Zm00001eb243730,11,nactf133,NAC
Zm00001eb246520,11,bhlh176,bHLH
Zm00001eb247330,11,toc2,Pseudo_ARR-B
Zm00001eb250190,11,Zm00001eb250190,non_TF
Zm00001eb250390,11,dof22,Dof
Zm00001eb250760,11,abi16,B3
Zm00001eb256420,11,hb71,HB-other
Zm00001eb256690,11,mybr67,MYB_related
Zm00001eb259370,11,tcptf4,TCP
Zm00001eb261760,11,AY110100,LSD
Zm00001eb265240,11,mybr63,MYB_related
Zm00001eb266360,11,myb62,MYB
Zm00001eb266750,11,dof3,Dof
Zm00001eb268180,11,ereb72,ERF
Zm00001eb268690,11,hb38,TALE
Zm00001eb273540,11,arftf21,ARF
Zm00001eb273570,11,myb115,MYB
Zm00001eb273840,11,arftf22,ARF
Zm00001eb275490,11,myb158,MYB
Zm00001eb279090,11,ereb27,ERF
Zm00001eb281290,11,si606058e04,AT_hook
Zm00001eb288360,11,nactf20,NAC
Zm00001eb289320,11,myb85,MYB
Zm00001eb289860,11,nfy2,NF-YB
Zm00001eb291140,11,glk43,G2-like
Zm00001eb292690,11,tcptf23,TCP
Zm00001eb293840,11,hb47,HB-PHD
Zm00001eb294830,11,ereb162,RAV
Zm00001eb296340,11,gbf1,bZIP
Zm00001eb296640,11,c3h3,C3H
Zm00001eb296830,11,zhd6,ZF-HD
Zm00001eb309590,11,ereb94,ERF
Zm00001eb317770,11,zmm7,MIKC_MADS
Zm00001eb319590,11,GRMZM2G179024,Pseudo_ARR-B
Zm00001eb320870,11,hmg13,HMG_box
Zm00001eb320950,11,nlp13,Nin-like
Zm00001eb328900,11,hsftf27,HSF
Zm00001eb330490,11,ereb200,ERF
Zm00001eb330910,11,nactf2,NAC
Zm00001eb333460,11,c3h28,C3H
Zm00001eb333470,11,c3h23,C3H
Zm00001eb337530,11,nactf47,NAC
Zm00001eb337810,11,nfd110,HMG_box
Zm00001eb342580,11,myb91,MYB_related
Zm00001eb344600,11,zhd11,ZF-HD
Zm00001eb349060,11,zmm29,M-type_MADS
Zm00001eb355710,11,dof5,Dof
Zm00001eb361200,11,smh3,MYB_related
Zm00001eb362240,11,glk56,G2-like
Zm00001eb364730,11,c3h49,C3H
Zm00001eb364850,11,bhlh55,bHLH
Zm00001eb365340,11,jmj11,C2H2
Zm00001eb366690,11,bzip44,bZIP
Zm00001eb367660,11,myb36,MYB
Zm00001eb371980,11,glk1,G2-like
Zm00001eb372360,11,nlp14,Nin-like
Zm00001eb372610,11,mads60,M-type_MADS
Zm00001eb374760,11,arr2,ARR-B
Zm00001eb379340,11,gras32,GRAS
Zm00001eb386770,11,bzip93,bZIP
Zm00001eb387280,11,gl15,AP2
Zm00001eb388180,11,c3h18,C3H
Zm00001eb393300,11,wrky61,WRKY
Zm00001eb395300,11,c3h6,C3H
Zm00001eb395580,11,myb29,MYB
Zm00001eb398190,11,bhlh143,bHLH
Zm00001eb403060,11,Zm00001eb403060,non_TF
Zm00001eb406610,11,glk4,G2-like
Zm00001eb406660,11,glk5,G2-like
Zm00001eb410950,11,myb109,MYB_related
Zm00001eb415660,11,c3h31,C3H
Zm00001eb416800,11,bhlh162,bHLH
Zm00001eb424290,11,grf2,non_TF
Zm00001eb428070,11,mybr111,MYB_related
Zm00001eb429830,11,myb68,MYB
Zm00001eb433460,11,arftf30,ARF
Zm00001eb433840,11,dof41,Dof
Zm00001eb001460,12,nactf78,NAC
Zm00001eb001630,12,bhlh140,bHLH
Zm00001eb003470,12,myb120,MYB
Zm00001eb006680,12,bhlh160,bHLH
Zm00001eb006700,12,hb5,HD-ZIP
Zm00001eb009170,12,hsftf14,HSF
Zm00001eb010190,12,bzip115,bZIP
Zm00001eb023780,12,mybr32,MYB_related
Zm00001eb028820,12,myb56,MYB
Zm00001eb030990,12,wrky3,WRKY
Zm00001eb035640,12,arftf1,ARF
Zm00001eb036040,12,bhlh81,bHLH
Zm00001eb037530,12,ereb79,ERF
Zm00001eb040160,12,myb167,MYB_related
Zm00001eb041070,12,ereb60,AP2
Zm00001eb041890,12,kan1,G2-like
Zm00001eb042490,12,cadtfr11,NF-YB
Zm00001eb054670,12,gbptf3,GeBP
Zm00001eb055540,12,myb77,MYB
Zm00001eb056780,12,wrky107,WRKY
Zm00001eb064180,12,farl3,FAR1
Zm00001eb064880,12,wrky10,WRKY
Zm00001eb068520,12,ereb197,AP2
Zm00001eb070890,12,mads9,MIKC_MADS
Zm00001eb073010,12,abi12,B3
Zm00001eb073550,12,ereb105,ERF
Zm00001eb075510,12,nactf131,NAC
Zm00001eb093670,12,gras37,GRAS
Zm00001eb099960,12,arid2,ARID
Zm00001eb101350,12,bzip82,bZIP
Zm00001eb101420,12,dof2,Dof
Zm00001eb101630,12,ca5p12,NF-YC
Zm00001eb108090,12,gras85,GRAS
Zm00001eb108240,12,lbd14,LBD
Zm00001eb111570,12,abi39,B3
Zm00001eb122050,12,ca5p15,NF-YC
Zm00001eb136080,12,ca2p12,NF-YA
Zm00001eb138730,12,bzip129,bZIP
Zm00001eb139480,12,bzip8,bZIP
Zm00001eb143080,12,mads69,M-type_MADS
Zm00001eb151260,12,LOC103651133,MYB_related
Zm00001eb157620,12,gata35,GATA
Zm00001eb174000,12,mads32,MIKC_MADS
Zm00001eb174990,12,bbr3,BBR-BPC
Zm00001eb175500,12,nactf75,NAC
Zm00001eb175540,12,bhlh165,bHLH
Zm00001eb179590,12,bhlh40,bHLH
Zm00001eb181760,12,thx40,Trihelix
Zm00001eb187120,12,dof17,Dof
Zm00001eb192430,12,bhlh12,bHLH
Zm00001eb193180,12,grftf10,GRF
Zm00001eb195650,12,scro1,GRAS
Zm00001eb198700,12,nfd106,HMG_box
Zm00001eb199430,12,ca5p14,NF-YC
Zm00001eb214850,12,mybr106,MYB_related
Zm00001eb215560,12,grftf14,GRF
Zm00001eb222650,12,e2f18,E2F/DP
Zm00001eb231040,12,bzip14,bZIP
Zm00001eb232000,12,glk18,G2-like
Zm00001eb234870,12,ereb138,ERF
Zm00001eb241300,12,hsftf29,HSF
Zm00001eb242480,12,hsftf6,HSF
Zm00001eb245030,12,nactf30,NAC
Zm00001eb248780,12,gata3,GATA
Zm00001eb249470,12,ereb104,ERF
Zm00001eb252160,12,mybr78,MYB_related
Zm00001eb254860,12,ereb187,AP2
Zm00001eb257650,12,AY110182,C3H
Zm00001eb257810,12,lrl3,bHLH
Zm00001eb264930,12,lip15,bZIP
Zm00001eb265410,12,phd12,zf-MIZ
Zm00001eb265630,12,cchh26,C2H2
Zm00001eb270930,12,dbb8,DBB
Zm00001eb271520,12,ereb25,ERF
Zm00001eb273390,12,ereb19,ERF
Zm00001eb278680,12,pl1,MYB
Zm00001eb280090,12,e2f12,E2F/DP
Zm00001eb284010,12,zag1,MIKC_MADS
Zm00001eb288080,12,glk51,G2-like
Zm00001eb288970,12,bzip87,bZIP
Zm00001eb293010,12,hb2,non_TF
Zm00001eb300360,12,yab3,YABBY
Zm00001eb302890,12,ereb82,ERF
Zm00001eb311960,12,mwp1,G2-like
Zm00001eb312120,12,myb66,MYB
Zm00001eb317890,12,nactf63,NAC
Zm00001eb319350,12,hsftf10,HSF
Zm00001eb323880,12,bhlh90,bHLH
Zm00001eb325550,12,bes1,BES1
Zm00001eb326020,12,gras19,GRAS
Zm00001eb328570,12,tcptf38,TCP
Zm00001eb333350,12,nactf97,NAC
Zm00001eb336820,12,bzip122,bZIP
Zm00001eb344160,12,wrky106,WRKY
Zm00001eb348560,12,ereb113,ERF
Zm00001eb359300,12,c3h9,C3H
Zm00001eb363940,12,nactf9,NAC
Zm00001eb364110,12,tcptf20,TCP
Zm00001eb364360,12,sbp18,SBP
Zm00001eb371000,12,hstf2,HSF
Zm00001eb371020,12,hox4,HB-PHD
Zm00001eb389960,12,mybr86,MYB_related
Zm00001eb393510,12,ereb67,ERF
Zm00001eb395100,12,bzip124,bZIP
Zm00001eb399390,12,bhlh9,bHLH
Zm00001eb406520,12,ddt6,non_TF
Zm00001eb407530,12,bzip10,bZIP
Zm00001eb408080,12,tcptf12,TCP
Zm00001eb409800,12,jmj8,C2H2
Zm00001eb412510,12,bzip107,bZIP
Zm00001eb413540,12,nactf110,NAC
Zm00001eb415520,12,bhlh116,bHLH
Zm00001eb423330,12,thx2,Trihelix
Zm00001eb427790,12,thx31,Trihelix
Zm00001eb427970,12,abi2,B3
Zm00001eb430640,12,ereb205,ERF
Zm00001eb430800,12,mbd123,MBD
Zm00001eb434360,12,cchh46,C2H2
Zm00001eb011370,13,bhlh56,bHLH
Zm00001eb024300,13,nactf43,NAC
Zm00001eb035370,13,sbp16,SBP
Zm00001eb042240,13,dbf1,ERF
Zm00001eb051310,13,glk23,G2-like
Zm00001eb053560,13,pap25,E2F/DP
Zm00001eb086280,13,wrky105,WRKY
Zm00001eb113950,13,grftf15,GRF
Zm00001eb126140,13,ocl1,HD-ZIP
Zm00001eb147220,13,lg2,bZIP
Zm00001eb234170,13,glk24,ARR-B
Zm00001eb318060,13,ereb116,ERF
Zm00001eb335680,13,mybr18,MYB_related
Zm00001eb359990,13,hb113,HB-other
Zm00001eb398670,13,lbd42,LBD
Zm00001eb418630,13,gbptf11,GeBP
Zm00001eb119340,14,myb117,MYB
Zm00001eb121610,14,wrky56,WRKY
Zm00001eb215440,14,zim2,GATA
Zm00001eb427580,14,gata6,GATA
Zm00001eb294560,15,myb99,MYB
Zm00001eb309360,15,glk101,G2-like
